OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE,x,y
31480,05806,"Laurel Volunteer Fire Department, Inc.",3,1661 Spillcorn Rd,Marshall,NC,Madison,28753,35.9457538,-82.6667805,-82.6667805,35.9457538
31481,08303,Laurinburg Fire Department,1,501 N Main St,Laurinburg,NC,Scotland,28352,34.782548,-79.45850303,-79.45850303,34.7825480000001
31482,08303,Laurinburg Fire Department,2,1547 Hickory St.,Laurinburg,NC,Scotland,28352,34.75605349,-79.47234828,-79.4723482799999,34.7560534900001
31483,08303,Laurinburg Fire Department,3,11280 Purcell Rd,Laurinburg,NC,Scotland,28353,34.7275,-79.5067,-79.5067,34.7275000000001
31484,02311,Lawndale Volunteer Fire Department,1,111 Richard Street,Lawndale,NC,Cleveland,28090,35.4130399,-81.56450729,-81.5645072899999,35.4130399000001
31485,08504,"Lawsonville Volunteer Fire & Rescue, Inc.",1,1013 Fire Rescue Lane,Lawsonville,NC,Stokes,27022,36.48593099,-80.22547662,-80.2254766199999,36.48593099
31486,07917,"Leaksville Volunteer Fire Department, Inc.",1,146 Beddingfield Road,Eden,NC,Rockingham,27288,36.47885176,-79.79539959,-79.79539959,36.4788517600001
31487,01710,"Leasburg Volunteer Fire Department, Inc.",1,5783 NC Hwy 119 N,Leasburg,NC,Caswell,27291,36.40365682,-79.21425324,-79.2142532399999,36.40365682
31488,01710,"Leasburg Volunteer Fire Department, Inc.",2,9798 Ridgeville Rd,Leasburg,NC,Caswell,27291,36.3905,-79.1591,-79.1591,36.3905
31489,03204,"Lebanon Volunteer Fire Department, Inc.",1,7900 Russell Road,Durham,NC,Durham,27722,36.11993534,-78.9391,-78.9390999999999,36.11993534
31490,03204,"Lebanon Volunteer Fire Department, Inc.",2,226 Milton Road,Durham,NC,Durham,27712,36.08855665,-78.9129923,-78.9129923,36.08855665
31491,06108,"Ledger Fire Department, Inc.",1,5165 South Hwy. 226,Bakersville,NC,Mitchell,28705,35.96496499,-82.11518047,-82.11518047,35.9649649900001
31492,03302,"Leggett Volunteer Fire Department, Inc.",1,29 Draugh Road,Tarboro,NC,Edgecombe,27886,35.99169566,-77.58130041,-77.58130041,35.9916956600001
31493,01111,"Leicester Volunteer Fire Department, Incorporated",1,1563 Alexander Road,Leicester,NC,Buncombe,28748,35.657551,-82.696036,-82.6960359999999,35.6575510000001
31494,01111,"Leicester Volunteer Fire Department, Incorporated",2,15 School Road,Leicester,NC,Buncombe,28748,35.67355688,-82.81183947,-82.8118394699999,35.67355688
31495,01111,"Leicester Volunteer Fire Department, Incorporated",3,1075 Newfound Road,Leicester,NC,Buncombe,28748,35.606,-82.7306,-82.7306,35.6060000000001
31496,05308,Lemon Springs Volunteer Fire Department,1,Greenwood Road and Lemon Springs Road,Lemon Springs,NC,Lee,28355,35.38920336,-79.19281073,-79.19281073,35.3892033600001
